IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.16.10.0,4,4,0.00,155.48,27.43
104.18.64.2,4,4,0.00,158.72,24.48
104.18.75.224,4,4,0.00,144.54,24.21
198.41.198.224,4,4,0.00,169.83,23.62
141.101.114.161,4,4,0.00,134.91,23.57
162.159.248.120,4,4,0.00,169.42,21.84
104.17.128.24,4,4,0.00,166.37,21.64
104.18.182.227,4,4,0.00,127.24,21.51
104.17.252.109,4,4,0.00,168.85,20.08
104.17.138.213,4,4,0.00,139.53,19.89
104.19.35.205,4,4,0.00,69.30,17.11
104.19.61.25,4,4,0.00,69.01,16.45
104.19.39.166,4,4,0.00,67.00,15.68
104.19.63.166,4,4,0.00,67.44,15.01
104.19.63.165,4,4,0.00,66.72,14.97
104.19.40.126,4,4,0.00,68.15,12.45
104.19.55.71,4,4,0.00,67.43,10.89
104.19.44.37,4,4,0.00,69.36,9.81
162.159.41.93,4,4,0.00,163.06,9.61
104.19.47.245,4,4,0.00,67.34,9.36
